year,is_partial_year,months_observed,median_price,mortgage_rate,income_young,income_all_ages,cpi,monthly_pi,monthly_piti,annual_housing_cost,required_income,affordability_index,affordability_index_all_ages,income_shortfall,price_to_income,payment_to_income,down_payment,years_to_save_down,median_price_real2024,monthly_piti_real2024,required_income_real2024,income_young_real2024,down_payment_real2024,hor_under_35,hor_all,hor_gap_under35,student_debt_per_capita,student_debt_pct_income,dti_headroom
1984,False,12,79950.0,13.869375,23740.0,22420.0,103.93333333333334,751.2360317081685,867.8297817081685,10413.957380498023,37192.704930350075,63.82972156625164,60.28063848000682,13452.704930350075,3.3677337826453244,0.43866711796537583,15990.0,6.735467565290649,241310.15161962796,2619.3387892936435,112257.37668401327,71653.57097498396,48262.030323925595,,,,,,-0.07866711796537584
1985,False,12,84275.0,12.42325,25090.0,23620.0,107.6,715.5323672430233,838.4334089096899,10061.200906916278,35932.86038184384,69.82466670723902,65.73370377142231,10842.860381843842,3.3589079314467916,0.40100442036334305,16855.0,6.717815862893583,245696.2174333953,2444.3775394707563,104759.03740588954,73147.64871437423,49139.243486679065,,,,,,-0.041004420363343064
1986,False,12,92025.0,10.177833333333334,25900.0,24900.0,109.69166666666666,655.7635815811345,789.9667065811345,9479.600478973614,33855.71599633434,76.50111432528638,73.54740334747609,7955.7159963343365,3.5530888030888033,0.3660077405009117,18405.0,7.1061776061776065,263174.72115019377,2259.1607467799727,96821.17486199882,74069.27767226317,52634.94423003875,,,,,,-0.00600774050091174
1987,False,12,104700.0,10.194416666666667,26970.0,26060.0,113.61666666666667,747.1157558237812,899.8032558237812,10797.639069885376,38562.99667816205,69.93751088662908,67.57773576957932,11592.996678162053,3.882091212458287,0.40035739969912404,20940.0,7.764182424916574,289079.0498753117,2484.376984415002,106473.29933207152,74464.77531172069,57815.809975062344,,,,,,-0.04035739969912405
1988,False,12,112225.0,10.33425,28410.0,27230.0,118.275,810.1481604551132,973.8096187884465,11685.715425461358,41734.697948076275,68.0728539963221,65.24547040900566,13324.697948076275,3.950193593804998,0.41132402060758033,22445.0,7.900387187609996,297651.8854717114,2582.8137146167933,110692.0163407197,75351.21466920314,59530.377094342286,,,,,,-0.051324020607580345
1989,False,12,120425.0,10.323166666666667,29820.0,28910.0,123.94166666666666,868.5484523637393,1044.168244030406,12530.018928364872,44750.06760130311,66.6367708439655,64.60325436281161,14930.067601303112,4.038397048960429,0.4201884281812499,24085.0,8.076794097920859,304797.43202447385,2642.8050602613407,113263.0740112003,75474.85507967458,60959.48640489478,,,,,,-0.06018842818124992
1990,False,12,122300.0,10.128833333333333,30360.0,29940.0,130.65833333333333,867.9452646715292,1046.299431338196,12555.593176058352,44841.404200208395,67.7052838587488,66.7686494970665,14481.404200208395,4.02832674571805,0.41355708748545295,24460.0,8.0566534914361,293630.60743669875,2512.0649025716025,107659.92439592582,72891.45741437592,58726.12148733976,,,,,,-0.05355708748545296
1991,False,12,119975.0,9.24775,30840.0,30130.0,136.16666666666666,789.4473838291029,964.4109254957696,11572.931105949236,41331.89680696155,74.61549646278417,72.89769482567078,10491.896806961551,3.8902399481193255,0.3752571694536069,23995.0,7.780479896238651,276396.11416768667,2221.791475456496,95219.63466242125,71048.60313341494,55279.22283353734,,,,,,-0.01525716945360689
1992,False,12,121375.0,8.399041666666667,31240.0,30640.0,140.30833333333334,739.6786292188798,916.6838375522132,11000.206050626559,39286.45018080914,79.51851046919045,77.99126635006385,8046.450180809137,3.8852432778489114,0.35211927178702174,24275.0,7.770486555697823,271367.4524855972,2049.500784603626,87835.74791158398,69845.67839876462,54273.49049711944,,,,,,0.00788072821297825
1993,False,12,126500.0,7.326583333333333,31280.0,31240.0,144.475,695.6269553448177,880.1061220114843,10561.273464137812,37718.83380049218,82.92939321891717,82.82334540150167,6438.8338004921825,4.044117647058823,0.33763661969750036,25300.0,8.088235294117647,274669.09903674223,1910.9719809455776,81898.79918338188,67918.17721635809,54933.81980734845,,,,,,0.022363380302499625
1994,False,12,130425.0,8.354833333333334,33150.0,32260.0,148.225,791.5745460411399,981.7776710411399,11781.332052493679,42076.185901763136,78.78565818060734,76.67044744815664,8926.185901763136,3.934389140271493,0.3553946320510914,26085.0,7.868778280542986,276026.87392477656,2077.7996659124665,89048.55711053428,70157.49181986845,55205.37478495531,37.35,63.974999999999994,26.624999999999993,,,0.00460536794890859
1995,False,12,133475.0,7.952833333333333,34700.0,34080.0,152.38333333333333,780.0056497908218,974.6566914574885,11695.88029748986,41771.00106246379,83.07198562971975,81.58770231299276,7071.001062463787,3.846541786743516,0.33705706909192684,26695.0,7.693083573487032,274773.24376572244,2006.4400125097661,85990.28625041853,71433.83823690256,54954.64875314449,38.650000000000006,64.75,26.099999999999994,,,0.022942930908073145
1996,False,12,140250.0,7.804291666666667,35890.0,35490.0,156.85833333333332,808.028071102848,1012.559321102848,12150.711853234176,43395.39947583634,82.70461946083584,81.78286276581399,7505.399475836341,3.907773753134578,0.33855424500513165,28050.0,7.815547506269156,280483.4588004038,2024.9992201320179,86785.68086280076,71775.76710407481,56096.691760080765,39.05,65.375,26.325000000000003,,,0.021445754994868338
1997,False,12,145000.0,7.595791666666667,38170.0,37010.0,160.525,818.7112108728444,1030.1695442061778,12362.034530474133,44150.1233231219,86.45502464544636,83.82762541598035,5980.123323121901,3.798794865077286,0.32386781583636715,29000.0,7.597589730154572,283359.19119555625,2013.158681659016,86278.22921395783,74591.86433058194,56671.838239111254,38.7,65.7,27.0,,,0.03613218416363284
