year,quarter,asking_rent,is_revised,date
1988,1,330.0,False,1988-01-01
1988,2,344.0,False,1988-04-01
1988,3,347.0,False,1988-07-01
1988,4,350.0,False,1988-10-01
1989,1,331.0,True,1989-01-01
1989,2,344.0,True,1989-04-01
1989,3,345.0,True,1989-07-01
1989,4,358.0,True,1989-10-01
1990,1,368.0,False,1990-01-01
1990,2,363.0,False,1990-04-01
1990,3,374.0,False,1990-07-01
1990,4,380.0,False,1990-10-01
1991,1,385.0,False,1991-01-01
1991,2,395.0,False,1991-04-01
1991,3,402.0,False,1991-07-01
1991,4,414.0,False,1991-10-01
1992,1,401.0,False,1992-01-01
1992,2,404.0,False,1992-04-01
1992,3,409.0,False,1992-07-01
1992,4,430.0,False,1992-10-01
1993,1,420.0,True,1993-01-01
1993,2,435.0,True,1993-04-01
1993,3,426.0,True,1993-07-01
1993,4,444.0,True,1993-10-01
1994,1,431.0,False,1994-01-01
1994,2,430.0,False,1994-04-01
1994,3,425.0,False,1994-07-01
1994,4,427.0,False,1994-10-01
1995,1,433.0,False,1995-01-01
1995,2,419.0,False,1995-04-01
1995,3,437.0,False,1995-07-01
1995,4,445.0,False,1995-10-01
1996,1,428.0,False,1996-01-01
1996,2,435.0,False,1996-04-01
1996,3,449.0,False,1996-07-01
1996,4,458.0,False,1996-10-01
1997,1,436.0,False,1997-01-01
1997,2,431.0,False,1997-04-01
1997,3,448.0,False,1997-07-01
1997,4,455.0,False,1997-10-01
1998,1,457.0,False,1998-01-01
1998,2,452.0,False,1998-04-01
1998,3,463.0,False,1998-07-01
1998,4,466.0,False,1998-10-01
1999,1,444.0,False,1999-01-01
1999,2,475.0,False,1999-04-01
1999,3,456.0,False,1999-07-01
1999,4,463.0,False,1999-10-01
2000,1,478.0,False,2000-01-01
2000,2,464.0,False,2000-04-01
2000,3,492.0,False,2000-07-01
2000,4,486.0,False,2000-10-01
2001,1,478.0,False,2001-01-01
2001,2,502.0,False,2001-04-01
2001,3,525.0,False,2001-07-01
2001,4,535.0,False,2001-10-01
2002,1,546.0,True,2002-01-01
2002,2,577.0,True,2002-04-01
2002,3,568.0,True,2002-07-01
2002,4,579.0,True,2002-10-01
2003,1,594.0,False,2003-01-01
2003,2,588.0,False,2003-04-01
2003,3,582.0,False,2003-07-01
2003,4,591.0,False,2003-10-01
2004,1,620.0,False,2004-01-01
2004,2,599.0,False,2004-04-01
2004,3,619.0,False,2004-07-01
2004,4,620.0,False,2004-10-01
2005,1,608.0,False,2005-01-01
2005,2,603.0,False,2005-04-01
2005,3,614.0,False,2005-07-01
2005,4,593.0,False,2005-10-01
2006,1,600.0,False,2006-01-01
2006,2,625.0,False,2006-04-01
2006,3,639.0,False,2006-07-01
2006,4,700.0,False,2006-10-01
2007,1,659.0,False,2007-01-01
2007,2,665.0,False,2007-04-01
2007,3,663.0,False,2007-07-01
2007,4,673.0,False,2007-10-01
2008,1,679.0,False,2008-01-01
2008,2,686.0,False,2008-04-01
2008,3,719.0,False,2008-07-01
2008,4,704.0,False,2008-10-01
2009,1,723.0,False,2009-01-01
2009,2,715.0,False,2009-04-01
2009,3,716.0,False,2009-07-01
2009,4,680.0,False,2009-10-01
2010,1,685.0,False,2010-01-01
2010,2,694.0,False,2010-04-01
2010,3,709.0,False,2010-07-01
2010,4,708.0,False,2010-10-01
2011,1,683.0,False,2011-01-01
2011,2,684.0,False,2011-04-01
2011,3,700.0,False,2011-07-01
2011,4,712.0,False,2011-10-01
2012,1,721.0,False,2012-01-01
2012,2,716.0,False,2012-04-01
2012,3,706.0,False,2012-07-01
2012,4,724.0,False,2012-10-01
2013,1,718.0,False,2013-01-01
2013,2,735.0,False,2013-04-01
2013,3,736.0,False,2013-07-01
2013,4,746.0,False,2013-10-01
2014,1,766.0,False,2014-01-01
2014,2,756.0,False,2014-04-01
2014,3,756.0,False,2014-07-01
2014,4,766.0,False,2014-10-01
2015,1,799.0,False,2015-01-01
2015,2,803.0,False,2015-04-01
2015,3,802.0,False,2015-07-01
2015,4,850.0,False,2015-10-01
2016,1,870.0,False,2016-01-01
2016,2,847.0,False,2016-04-01
2016,3,842.0,False,2016-07-01
2016,4,864.0,False,2016-10-01
2017,1,864.0,False,2017-01-01
2017,2,910.0,False,2017-04-01
2017,3,912.0,False,2017-07-01
2017,4,910.0,False,2017-10-01
2018,1,954.0,False,2018-01-01
2018,2,951.0,False,2018-04-01
2018,3,1003.0,False,2018-07-01
2018,4,947.0,False,2018-10-01
2019,1,1006.0,False,2019-01-01
2019,2,1008.0,False,2019-04-01
2019,3,1002.0,False,2019-07-01
2019,4,1005.0,False,2019-10-01
2020,1,1041.0,False,2020-01-01
2020,2,1033.0,False,2020-04-01
2020,3,1160.0,False,2020-07-01
2020,4,1190.0,False,2020-10-01
2021,1,1226.0,False,2021-01-01
2021,2,1228.0,False,2021-04-01
2021,3,1203.0,False,2021-07-01
2021,4,1207.0,False,2021-10-01
2022,1,1255.0,False,2022-01-01
2022,2,1314.0,False,2022-04-01
2022,3,1334.0,False,2022-07-01
2022,4,1322.0,False,2022-10-01
2023,1,1462.0,False,2023-01-01
2023,2,1445.0,False,2023-04-01
2023,3,1462.0,False,2023-07-01
2023,4,1465.0,False,2023-10-01
2024,1,1469.0,False,2024-01-01
2024,2,1481.0,False,2024-04-01
2024,3,1523.0,False,2024-07-01
2024,4,1475.0,False,2024-10-01
2025,1,1468.0,False,2025-01-01
2025,2,1494.0,False,2025-04-01
2025,3,1534.0,False,2025-07-01
2025,4,1464.0,False,2025-10-01
2026,1,1579.0,False,2026-01-01
2026,2,1531.0,False,2026-04-01
