base_year,end_year,base_price,base_rate,base_payment,total_change,price_effect,rate_effect,interaction,base_price_real,base_payment_real,real_total_change,real_price_effect,real_rate_effect,real_interaction,price_effect_share,rate_effect_share,interaction_share,dominant_factor,shares_readable,real_price_effect_share,real_rate_effect_share,real_interaction_share,real_dominant_factor,real_shares_readable
2005,2025,236550.0,5.8648750000000005,1463.1705311819217,1264.1067690606858,1106.2694969430856,89.88061319070425,67.9566589268959,380020.3208859679,2350.600442911207,306.67628741204317,152.8901981359395,144.3942484301797,9.39184084592398,87.5139287297003,7.1102074121074,5.375863858192307,price,True,49.853935374703354,47.083603903217636,3.062460722079017,price,True
2006,2025,243750.0,6.410833333333333,1576.5887998460748,1150.6885003965326,1110.2419179223743,23.733400284246727,16.71318218991155,379363.7646256254,2453.746307184425,203.53042313882543,164.12197632627704,36.93781365825134,2.4706331542970474,96.48501028208588,2.0625391038554817,1.4524506140586362,price,True,80.63756454450625,18.14854658512479,1.2138888703689577,price,True
2007,2025,244950.0,6.340458333333333,1575.3305431578544,1151.946757084753,1096.2036786334204,32.87016626541663,22.872912185915993,370593.33358787524,2383.3721065183404,273.90462380491,219.59229361680082,49.73041229593127,4.5819178921778985,95.16096745717637,2.853444923843668,1.9855876189799584,price,True,80.17107946786857,18.15610543739927,1.6728150947321698,price,True
2008,2025,229550.0,6.036124999999999,1440.0437425548614,1287.233557687746,1165.8990614411716,67.04943094222722,54.2850653043472,334531.90428682975,2098.6302568207843,558.646473502466,440.42624945966827,97.71367377238721,20.50655027041057,90.5740107906659,5.208800729423798,4.217188479910305,price,True,78.83809714189918,17.49114662082546,3.670756237275352,price,True
2009,2025,215650.0,5.0413749999999995,1244.9816022834734,1482.295697959134,1153.1883842157376,170.85217190361936,158.25514183977702,315284.9473895982,1820.1899326545908,837.0867976686595,516.4266262545802,249.78955729205336,70.87061412202593,77.79745875289792,11.526186855892073,10.676354391210007,price,True,61.69331874458677,29.840341286917116,8.466339968496115,price,True
2010,2025,222700.0,4.6905833333333335,1247.767851844414,1479.5094483981934,1079.6805794809993,214.3521644387556,185.47670447843848,320349.4576436214,1794.8888846138507,862.3878457093997,472.8213174393868,308.3412645832591,81.2252636867538,72.97557853719196,14.488056475126013,12.536364987682019,price,True,54.82699226244826,35.754361116907646,9.418646620644097,price,True
2011,2025,224900.0,4.4558333333333335,1234.8918538356857,1492.3854464069218,1046.006661430405,241.67209615122465,204.70668882529208,313666.08876519225,1722.2930095181723,934.9837208050781,500.06206537878506,337.05798649817734,97.86366892811566,70.08957799399468,16.19367816357873,13.716743842426594,price,True,53.483505033456744,36.04961016946368,10.466884797079576,price,True
2012,2025,244400.0,3.6559166666666663,1251.4939039308579,1475.7833963117496,875.6360784458948,353.09582206647815,247.05149579937665,333939.36958286894,1709.9962574282906,947.2804728949598,362.5370357721615,482.45743135525595,102.28600576754229,59.33364480412696,23.92599232034516,16.740362875527882,price,True,38.27135110937327,50.93079031607503,10.797858574551698,rate,True
2013,2025,266225.0,3.981916666666667,1402.824767688542,1324.4525325540656,786.0508394025285,345.055346074309,193.34634707722807,358504.6878627584,1889.0759901073425,768.2007402159079,243.61811319409708,464.65943896984254,59.92318805196828,59.349113696563606,26.052677434117367,14.598208869319027,price,True,31.71281937656381,60.48672106710635,7.80045955632983,rate,True
2014,2025,285775.0,4.172833333333333,1531.1242569816477,1196.1530432609597,694.5043541641012,345.1099040121687,156.53878508468983,378713.19341472513,2029.068172080371,628.2085582428795,139.4356020731252,457.3446726533034,31.428283516450847,58.06149623385476,28.85165121273512,13.086852553410125,price,True,22.195750160286146,72.80140753454742,5.0028423051664275,rate,True
2015,2025,294150.0,3.849,1532.0338983419451,1195.2434019006623,631.5115083255514,399.185692092246,164.54620148286494,389340.2294497826,2027.8172004259657,629.4595298972847,80.19684846589848,528.3666461066302,20.896035324755985,52.835389622007455,33.3978578302516,13.766752547740943,price,True,12.740588498038152,83.93973258183082,3.3196789201310217,rate,True
2016,2025,305125.0,3.6477083333333336,1561.31740255255,1165.9598976900575,564.2745647406223,441.95772079007315,159.72761215936202,398812.4702914692,2040.7139704089886,616.5627599142617,30.32078368356997,577.6591573705091,8.58281886018267,48.39570948010608,37.905053309780044,13.699237210113877,price,True,4.917712462521469,93.69024451798508,1.3920430194934548,rate,True
2017,2025,322425.0,3.991,1700.3101631855357,1026.9671370570718,490.3042177938287,416.546802463773,120.11611679947009,412629.40093872003,2176.0036102822824,481.273120040968,-41.61536191086907,533.0835312508834,-10.195049299046332,47.74293159943451,40.56086971365513,11.696198686910355,price,True,-8.646932516681295,110.76528255006328,-2.118350033381978,rate,False
2018,2025,325275.0,4.539041666666667,1798.899254706487,928.3780455361205,498.4268552161159,336.6691705135761,93.28201980642848,406365.4892283736,2247.3616961382163,409.9150341850341,-9.00067090681705,420.60020654480104,-1.6845014529499167,53.68791922780595,36.26423224163558,10.047848530558465,price,True,-2.195740618470261,102.6066797918282,-0.410939173357945,rate,False
2019,2025,320250.0,3.93375,1680.404208223783,1046.8730920188245,499.2676359484558,422.17295933205514,125.4324967383136,392962.34196081856,2061.9377770630217,595.3389532602287,61.7887947617146,518.0267753681619,15.523383130352158,47.69132378650134,40.32704274764794,11.981633465850711,price,True,10.378758927724,87.01375452274954,2.607486549526473,rate,True
2020,2025,328150.0,3.113666666666667,1601.5051492146915,1125.772151027916,425.81540231291115,552.938871186396,147.01787752860878,397673.4277359752,1940.8076861954005,716.4690441278499,34.47796810941736,670.087143785327,11.903932233105479,37.82429703240653,49.11641051713001,13.059292450463463,rate,True,4.812206248406311,93.52632179678007,1.6614719548136248,rate,True
