year,quarter,hor_all,hor_under_35,hor_35_44,hor_45_54,hor_55_64,hor_65_plus,date
1994,1,63.8,37.1,64.4,75.0,79.3,77.4,1994-01-01
1994,2,63.8,36.8,64.6,75.2,79.1,77.2,1994-04-01
1994,3,64.1,37.5,64.3,75.5,79.4,77.2,1994-07-01
1994,4,64.2,38.0,64.7,74.9,79.2,77.7,1994-10-01
1995,1,64.2,37.7,64.9,74.9,79.4,77.5,1995-01-01
1995,2,64.7,38.7,65.1,75.2,79.9,78.1,1995-04-01
1995,3,65.0,39.1,65.4,75.4,79.3,78.1,1995-07-01
1995,4,65.1,39.1,65.5,75.2,79.5,78.7,1995-10-01
1996,1,65.1,38.8,64.6,75.5,80.2,79.1,1996-01-01
1996,2,65.4,39.3,65.5,75.5,80.0,78.9,1996-04-01
1996,3,65.6,39.0,66.3,75.9,79.7,78.6,1996-07-01
1996,4,65.4,39.1,65.5,75.6,80.1,79.2,1996-10-01
1997,1,65.4,38.6,65.5,75.5,79.6,79.2,1997-01-01
1997,2,65.7,38.6,66.3,75.6,80.3,79.1,1997-04-01
1997,3,66.0,38.9,66.5,76.3,80.1,79.2,1997-07-01
1997,4,65.7,38.7,65.9,75.7,80.3,79.1,1997-10-01
1998,1,65.9,39.0,65.9,75.9,80.3,79.1,1998-01-01
1998,2,66.0,39.3,66.2,75.5,80.4,79.2,1998-04-01
1998,3,66.8,39.5,67.8,76.3,81.1,79.7,1998-07-01
1998,4,66.4,39.6,67.6,74.9,81.7,79.2,1998-10-01
1999,1,66.7,39.4,67.0,76.2,81.1,79.8,1999-01-01
1999,2,66.6,39.1,66.5,76.4,80.8,80.4,1999-04-01
1999,3,67.0,40.1,67.4,76.3,80.7,80.8,1999-07-01
1999,4,66.9,40.3,67.9,75.2,81.3,79.6,1999-10-01
2000,1,67.1,40.5,67.3,76.0,80.8,80.1,2000-01-01
2000,2,67.2,40.2,67.5,76.7,80.3,80.3,2000-04-01
2000,3,67.7,41.1,68.4,76.8,80.1,80.7,2000-07-01
2000,4,67.5,41.2,68.3,76.4,80.2,80.4,2000-10-01
2001,1,67.5,40.4,68.1,76.5,80.8,80.7,2001-01-01
2001,1,67.8,41.0,68.6,76.0,80.9,80.9,2001-01-01
2001,2,67.7,40.8,68.1,77.2,81.5,79.7,2001-04-01
2001,2,68.0,41.9,67.8,76.3,81.6,80.2,2001-04-01
2001,3,68.1,41.6,68.6,77.1,81.6,80.3,2001-07-01
2001,3,68.4,42.5,68.8,76.5,81.1,80.7,2001-07-01
2001,4,68.6,42.7,69.0,77.2,81.3,80.8,2001-10-01
2001,4,68.0,42.2,68.2,76.2,81.4,80.7,2001-10-01
2003,1,68.0,41.7,67.8,76.5,81.4,80.2,2003-01-01
2003,2,67.6,40.8,68.2,76.3,80.8,80.1,2003-04-01
2003,3,68.0,41.5,68.6,76.4,81.3,80.4,2003-07-01
2003,4,68.3,42.0,69.0,76.4,81.5,80.8,2003-10-01
2004,1,68.6,42.3,68.8,77.0,81.7,80.7,2004-01-01
2004,2,69.2,43.6,69.4,77.0,82.4,81.1,2004-04-01
2004,3,69.0,43.1,68.6,77.4,81.2,81.8,2004-07-01
2004,4,69.2,43.3,70.0,77.4,81.6,80.5,2004-10-01
2005,1,69.1,43.3,70.1,76.5,81.8,80.8,2005-01-01
2005,2,68.6,42.8,68.7,76.3,81.3,80.3,2005-04-01
2005,3,68.8,43.0,68.6,76.7,80.9,80.6,2005-07-01
2005,4,69.0,43.1,69.7,76.7,80.6,80.6,2005-10-01
2006,1,68.5,42.3,68.9,75.8,81.2,80.3,2006-01-01
2006,2,68.7,42.4,68.9,76.3,81.0,80.6,2006-04-01
2006,3,69.0,43.0,68.8,76.4,80.7,81.5,2006-07-01
2006,4,68.9,42.8,68.9,76.4,80.7,81.2,2006-10-01
2007,1,68.4,41.7,68.3,75.8,80.4,80.9,2007-01-01
2007,2,68.2,41.9,67.6,75.5,80.6,80.5,2007-04-01
2007,3,68.2,42.0,68.1,75.2,81.1,79.9,2007-07-01
2007,4,67.8,41.0,67.2,75.1,80.4,80.3,2007-10-01
2008,1,67.8,41.3,66.7,75.0,80.4,79.9,2008-01-01
2008,2,68.1,41.2,67.6,75.4,80.1,80.2,2008-04-01
2008,3,67.9,41.0,67.2,75.2,80.0,80.1,2008-07-01
2008,4,67.5,40.3,66.6,74.5,79.7,80.4,2008-10-01
2009,1,67.3,39.8,65.7,74.6,79.8,80.4,2009-01-01
2009,2,67.4,39.0,66.8,74.5,79.9,80.4,2009-04-01
2009,3,67.6,39.8,66.5,74.5,79.4,80.9,2009-07-01
2009,4,67.2,40.4,65.7,74.0,78.9,80.2,2009-10-01
2010,1,67.1,38.9,65.3,74.8,79.1,80.6,2010-01-01
2010,2,66.9,39.0,65.6,73.6,78.7,80.4,2010-04-01
2010,3,66.9,39.2,65.2,73.0,79.2,80.6,2010-07-01
2010,4,66.5,39.2,63.9,72.7,79.0,80.5,2010-10-01
2011,1,66.4,37.9,64.4,73.1,78.6,81.0,2011-01-01
2011,2,65.9,37.5,63.8,72.3,77.8,80.8,2011-04-01
2011,3,66.3,38.0,63.4,72.7,78.6,81.1,2011-07-01
2011,4,66.0,37.6,62.3,72.7,79.0,80.9,2011-10-01
2012,1,65.4,36.8,61.4,71.3,77.8,80.9,2012-01-01
2012,2,65.5,36.5,62.2,71.4,77.1,81.6,2012-04-01
2012,3,65.5,36.3,61.8,72.0,76.9,81.4,2012-07-01
2012,4,65.4,37.1,60.4,72.1,77.6,80.7,2012-10-01
2013,1,65.0,36.8,60.1,71.3,77.0,80.4,2013-01-01
2013,2,65.0,36.7,60.3,70.9,76.7,80.9,2013-04-01
2013,3,65.3,36.8,61.1,71.3,76.2,81.2,2013-07-01
2013,4,65.2,36.8,60.9,71.4,76.5,80.7,2013-10-01
2014,1,64.8,36.2,60.7,71.4,76.4,79.9,2014-01-01
2014,2,64.7,35.9,60.2,70.7,76.4,80.1,2014-04-01
2014,3,64.4,36.0,59.1,70.1,76.6,80.0,2014-07-01
2014,4,64.0,35.3,58.8,70.5,75.8,79.5,2014-10-01
2015,1,63.7,34.6,58.4,70.1,75.8,79.0,2015-01-01
2015,2,63.4,34.8,58.0,69.9,75.4,78.5,2015-04-01
2015,3,63.7,35.8,58.1,69.9,75.3,78.7,2015-07-01
2015,4,63.8,34.7,59.3,70.1,75.2,79.3,2015-10-01
2016,1,63.5,34.2,58.9,69.2,75.7,78.8,2016-01-01
2016,2,62.9,34.1,58.3,69.1,74.7,77.9,2016-04-01
2016,3,63.5,35.2,58.4,69.1,74.9,79.0,2016-07-01
2016,4,63.7,34.7,58.7,69.8,74.8,79.5,2016-10-01
2017,1,63.6,34.3,59.0,69.4,75.6,78.6,2017-01-01
2017,2,63.7,35.3,58.8,69.3,75.4,78.2,2017-04-01
2017,3,63.9,35.6,59.3,69.1,75.0,78.9,2017-07-01
2017,4,64.2,36.0,58.9,69.5,75.3,79.2,2017-10-01
2018,1,64.2,35.3,59.8,70.0,75.4,78.5,2018-01-01
2018,2,64.3,36.5,60.0,70.6,75.1,78.0,2018-04-01
2018,3,64.4,36.8,59.5,69.7,75.6,78.6,2018-07-01
2018,4,64.8,36.5,61.1,70.1,75.5,78.8,2018-10-01
2019,1,64.2,35.4,60.3,69.5,75.4,78.5,2019-01-01
2019,2,64.1,36.4,59.4,70.1,74.8,78.0,2019-04-01
2019,3,64.8,37.5,60.3,70.1,75.1,78.9,2019-07-01
2019,4,65.1,37.6,60.4,70.6,75.6,79.0,2019-10-01
2020,1,65.3,37.3,61.5,70.3,76.3,78.7,2020-01-01
2020,2,67.9,40.6,64.3,72.2,77.4,80.4,2020-04-01
2020,3,67.4,40.2,63.9,72.0,76.4,80.7,2020-07-01
2020,4,65.8,38.5,61.0,69.8,76.0,80.2,2020-10-01
2021,1,65.6,38.1,62.0,69.4,75.7,79.3,2021-01-01
2021,2,65.4,37.8,61.3,69.4,75.4,79.6,2021-04-01
2021,3,65.4,38.5,61.3,70.1,73.7,79.7,2021-07-01
2021,4,65.5,38.3,61.4,70.0,75.3,79.4,2021-10-01
2022,1,65.4,38.8,62.3,69.4,75.0,78.6,2022-01-01
2022,2,65.8,39.1,61.9,70.6,75.1,79.3,2022-04-01
2022,3,66.0,39.3,62.5,71.4,74.6,79.5,2022-07-01
2022,4,65.9,38.7,62.2,70.6,75.7,79.0,2022-10-01
2023,1,66.0,39.3,62.6,70.1,76.1,78.8,2023-01-01
2023,2,65.9,38.5,63.1,70.8,75.5,78.9,2023-04-01
2023,3,66.0,38.3,62.9,71.0,75.4,79.2,2023-07-01
2023,4,65.7,38.1,62.0,70.3,76.0,79.0,2023-10-01
2024,1,65.6,37.7,61.4,70.8,76.3,78.7,2024-01-01
2024,2,65.6,37.4,62.2,71.1,75.8,78.6,2024-04-01
2024,3,65.6,37.0,62.3,69.7,75.9,79.1,2024-07-01
2024,4,65.7,36.3,61.4,71.0,76.3,79.5,2024-10-01
2025,1,65.1,36.6,60.3,70.6,75.2,79.0,2025-01-01
2025,2,65.0,36.4,61.0,69.2,75.8,78.6,2025-04-01
2025,3,65.3,37.5,61.1,70.0,76.0,77.9,2025-07-01
2025,4,65.7,37.9,60.9,69.5,76.7,79.0,2025-10-01
2026,1,65.3,36.8,61.1,69.2,75.6,78.4,2026-01-01
2026,2,65.0,35.2,60.9,69.7,75.1,78.6,2026-04-01
