year,all_median_current,all_median_2024,age_15_24_median_current,age_15_24_median_2024,age_25_34_median_current,age_25_34_median_2024,age_35_44_median_current,age_35_44_median_2024
1967,7143,54880,5615,43140,8012,61550,8996,69110
1968,7743,57220,6028,44550,8592,63490,9826,72610
1969,8389,59470,6360,45090,9326,66120,10730,76080
1970,8734,59040,6669,45080,9690,65500,11130,75240
1971,9028,58530,6581,42670,10080,65330,11620,75310
1972,9697,60830,7061,44300,10880,68240,12690,79600
1973,10510,62150,7496,44320,11830,69960,13960,82550
1974,11200,60270,8112,43660,12420,66860,14890,80130
1975,11800,58630,8138,40430,13130,65220,15540,77220
1976,12690,59630,8862,41660,14000,65790,16720,78600
1977,13570,59920,9571,42260,15080,66560,18080,79810
1978,15060,62260,11010,45520,16500,68200,19930,82360
1979,16460,62140,11910,44970,18200,68710,22100,83410
1980,17710,60210,12710,43210,19340,65740,23630,80320
1981,19070,59190,13240,41090,20510,63660,25380,78770
1982,20170,59020,13820,40430,21280,62270,26370,77160
1983,20890,58650,13400,37640,21750,61070,27680,77730
1984,22420,60420,14030,37810,23740,63980,29780,80280
1985,23620,61570,15050,39230,25090,65390,31070,80990
1986,24900,63850,15310,39270,25900,66420,32790,84090
1987,26060,64650,16450,40800,26970,66900,35190,87290
1988,27230,65130,17040,40770,28410,67960,36550,87450
1989,28910,66240,18660,42770,29820,68350,37640,86250
1990,29940,65440,18000,39340,30360,66350,38560,84270
1991,30130,63530,18310,38620,30840,65040,39350,82980
1992,30640,63010,17660,36330,31240,64250,39850,81960
1993,31240,62700,19330,38800,31280,62780,40860,82010
1994,32260,63370,19340,37980,33150,65110,41670,81830
1995,34080,65380,20980,40250,34700,66580,43470,83390
1996,35490,66340,21440,40070,35890,67080,44420,83030
1997,37010,67720,22580,41330,38170,69860,46360,84840
1998,38890,70200,23560,42540,40070,72340,48450,87470
1999,40700,71980,25150,44480,42090,74450,50810,89870
2000,41990,71790,27850,47610,44410,75940,53760,91920
2001,42230,70610,28200,47150,45080,75380,53320,89160
2002,42410,70040,27830,45960,45330,74860,53520,88390
2003,43320,70080,27050,43770,44780,72440,55040,89050
2004,44330,69970,27580,43520,45470,71760,56680,89460
2005,46330,71060,28770,44130,47380,72670,58080,89090
2006,48200,71850,30940,46110,49160,73280,60410,90040
2007,50230,73010,31790,46200,51020,74140,62120,90290
2008,50300,70520,32270,45240,51400,72060,62950,88260
2009,49780,70070,30730,43260,50200,70660,61080,85980
2010,49280,68420,28220,39190,49880,69260,61420,85280
2011,50050,67410,30460,41020,50770,68380,61920,83380
2012,51020,67400,30600,40430,51380,67890,63630,84070
2013,53590,69950,33790,44110,52420,68420,67590,88240
2014,53660,69060,34610,44540,54240,69820,66690,85840
2015,56520,72790,36110,46510,57370,73890,71420,91990
2016,59040,75380,41660,53180,60930,77790,74480,95090
2017,61140,76710,38950,48870,61240,76840,78850,98930
2018,63180,77700,43530,53540,65890,81040,80740,99310
2019,68700,83260,47930,58090,70280,85180,88860,107700
2020,68010,81580,46900,56260,71610,85900,85710,102800
2021,70780,81270,51640,59290,74860,85950,90310,103700
2022,74580,79500,52450,55920,80240,85530,96630,103000
2023,80610,82690,54930,56350,85780,88000,101300,103900
2024,83730,83730,60310,60310,90100,90100,106100,106100
