date,ATXRNSA,BOXRNSA,CRXRNSA,CHXRNSA,CEXRNSA,DAXRNSA,DNXRNSA,DEXRNSA,LVXRNSA,LXXRNSA,MIXRNSA,MNXRNSA,NYXRNSA,PHXRNSA,POXRNSA,SDXRNSA,SFXRNSA,SEXRNSA,TPXRNSA,WDXRNSA
1987-01-01,,70.042198,63.388189,53.545909,53.531398,,50.196015,,66.358296,59.330841,68.49929,,74.421512,,41.0549,54.66759,46.612698,,77.334405,64.114966
1987-02-01,,70.083661,63.936295,54.640379,53.499354,,49.958033,,67.030115,59.645596,68.76421,,75.426096,,41.283365,54.891449,46.867949,,77.933306,64.774543
1987-03-01,,70.002971,64.171042,54.802209,53.680407,,50.146015,,67.335161,59.986172,69.23128,,76.249925,,41.056927,55.162481,47.320465,,77.760636,65.711921
1987-04-01,,70.698318,64.813123,54.880347,53.754056,,50.554054,,67.882287,60.805706,69.198943,,77.338105,,40.962485,55.85414,47.693158,,77.556174,66.39567
1987-05-01,,71.510278,65.181595,55.42628,54.714099,,50.625481,,67.898858,61.670846,69.457298,,79.161529,,41.242833,56.350755,48.314598,,77.849396,67.26757
1987-06-01,,72.320362,65.54736,56.389259,55.121451,,50.501121,,66.477159,62.707701,69.311992,,80.839709,,41.449104,56.857905,48.832182,,78.710389,68.697306
1987-07-01,,73.092821,65.760107,57.541302,55.739766,,50.276798,,65.432832,63.661941,69.695552,,82.219,,41.817462,57.262478,49.486318,,79.110907,69.786559
1987-08-01,,73.79168,66.075155,58.373879,56.103345,,50.379501,,65.136055,64.55833,70.155507,,83.014442,,41.904493,57.691782,49.938389,,79.144959,70.616041
1987-09-01,,74.389931,66.467706,58.852251,56.508574,,50.178064,,65.854914,65.380905,70.945664,,83.438625,,41.800491,58.138057,50.689854,,79.239518,71.7943
1987-10-01,,74.634499,66.767987,59.316538,56.607623,,50.382818,,66.209792,66.19745,71.28302,,83.879886,,41.857311,58.525544,51.330715,,79.085406,72.565735
1987-11-01,,74.828704,67.087304,59.343287,56.602984,,49.887064,,67.04642,66.944864,71.503929,,84.017821,,41.672893,59.022723,51.796392,,79.053721,73.179196
1987-12-01,,74.744736,67.1876,60.304727,56.378954,,49.8551,,66.655895,67.908046,71.412733,,84.412641,,41.875274,59.400911,52.031668,,79.154039,73.424899
