year,is_partial_year,base_payment,actual_payment,payment_price_only,payment_rate_only,total_change,price_effect,rate_effect,interaction,price_effect_share,rate_effect_share,interaction_share
1984,False,1843.028796049347,867.8297817081685,384.72624606826446,4157.333413311177,-975.1990143411784,-1458.3025499810824,2314.3046172618297,-1831.2010816219258,149.5389688192289,-237.31613580693778,187.7771669877089
1985,False,1843.028796049347,838.4334089096899,405.5385164152969,3810.3826237011126,-1004.5953871396571,-1437.49027963405,1967.3538276517656,-1534.4589351573727,143.09146727489528,-195.83544308851856,152.74397581362325
1986,False,1843.028796049347,789.9667065811345,442.83218004292723,3287.772329481929,-1053.0620894682124,-1400.1966160064198,1444.743533432582,-1097.6090068943745,132.96429811783534,-137.19452517393017,104.23022705609483
1987,False,1843.028796049347,899.8032558237812,503.8253653952131,3291.543906213068,-943.2255402255657,-1339.2034306541339,1448.5151101637211,-1052.537219735153,141.98125194254948,-153.57038676214376,111.58913481959428
1988,False,1843.028796049347,973.8096187884465,540.0363097562348,3323.404624602138,-869.2191772609004,-1302.992486293112,1480.375828552791,-1046.6025195205793,149.90378955962822,-170.31099488828337,120.40720532865514
1989,False,1843.028796049347,1044.168244030406,579.4954119170825,3320.8755446431014,-798.860552018941,-1263.5333841322645,1477.8467485937545,-1013.173916480431,158.16695178388355,-184.99433284805815,126.82738106417459
1990,False,1843.028796049347,1046.299431338196,588.5180724721542,3276.636812776198,-796.729364711151,-1254.5107235771927,1433.608016726851,-975.8266578608093,157.4575733168825,-179.936635980098,122.47906266321549
1991,False,1843.028796049347,964.4109254957696,577.3299733838652,3078.7196037914546,-878.6178705535774,-1265.6988226654817,1235.6908077421076,-848.6098556302034,144.0556657319094,-140.64029985681427,96.58463412490491
1992,False,1843.028796049347,916.6838375522132,584.0668932649855,2892.6048179814425,-926.3449584971338,-1258.9619027843614,1049.5760219320955,-716.9590776448679,135.90638036470264,-113.30293453908217,77.39655417437955
1993,False,1843.028796049347,880.1061220114843,608.7288321155153,2664.669128303546,-962.9226740378626,-1234.2999639338318,821.6403322541992,-550.26304235823,128.18266691737477,-85.32775833481845,57.145091417443695
1994,False,1843.028796049347,981.7776710411399,627.616268210799,2883.0427296051876,-861.251125008207,-1215.412527838548,1040.0139335558406,-685.8525307254997,141.1217347120407,-120.75617707273591,79.63444236069522
1995,False,1843.028796049347,974.6566914574885,642.2931293803827,2796.72982077706,-868.3721045918585,-1200.7356666689643,953.701024727713,-621.3374626506072,138.27432506405987,-109.82630829394961,71.55198322988974
1996,False,1843.028796049347,1012.559321102848,674.8950095193757,2765.1352583414673,-830.469474946499,-1168.1337865299713,922.1064622921203,-584.442150708648,140.65944887441233,-111.03435949304759,70.37491061863523
